shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,LocalVariables.ScanID5,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.NematicLatticeModulationTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalMotVariables2.MotDetuningCompressed,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.ReloadLatticeRampTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LatticeFreezeRampTime,LocalVariables.ScanID3,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.IsImageBIFormation,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.UnloadLatticeXPower,LocalVariables.DMDID2,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,LocalVariables.ScanID4,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.DMDModulationFrequency,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.LoadWithDmd0InitialPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.SecondDMD1RampPower,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.IsRoundTripReloading,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,LocalVariables.XbarFrequency,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.DMDModulationAmplitude,LocalVariables.ScanID2,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning
328,328,2025/10/12 09:00:03,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,88.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_6n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
329,329,2025/10/12 09:00:19,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,89.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_6n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
330,330,2025/10/12 09:00:35,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,90.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_6p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
331,331,2025/10/12 09:00:51,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,91.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_6p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
332,332,2025/10/12 09:01:07,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,92.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
333,333,2025/10/12 09:01:23,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,93.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
334,334,2025/10/12 09:01:39,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,94.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
335,335,2025/10/12 09:01:55,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,95.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
336,336,2025/10/12 09:02:11,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,96.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
337,337,2025/10/12 09:02:27,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,97.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
338,338,2025/10/12 09:02:43,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,98.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
339,339,2025/10/12 09:02:59,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,99.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
340,340,2025/10/12 09:03:15,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,100.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
341,341,2025/10/12 09:03:31,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,101.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
342,342,2025/10/12 09:03:47,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,102.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
343,343,2025/10/12 09:04:03,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,103.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
344,344,2025/10/12 09:04:19,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,104.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_16n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
345,345,2025/10/12 09:04:35,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,105.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_16n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
346,346,2025/10/12 09:04:51,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,106.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_16p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
347,347,2025/10/12 09:05:07,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,107.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_16p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
348,348,2025/10/12 09:05:23,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,108.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
349,349,2025/10/12 09:05:39,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,109.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
350,350,2025/10/12 09:05:55,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,932600000.0,0.48,0.0,0.007,0.03,4.9999999999999996e-06,0.02,0.174746,1.0,1.5,0.001,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.0,0.1,0.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,500.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,110.0,0.0225,300000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,450000000.0,854000000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,228200000.0,620000000.0
351,351,2025/10/12 09:06:11,0.2,0.975,0.03,93.0,0.0,0.0,9.999999999999999e-06,0.0225,1088300000.0,0.48,0.0,0.007,0.03,9.999999999999999e-06,0.02,0.174746,1.0,1.5,0.04,0.018000000000000002,0.1634945,0.02,0.005,557.0,1.0,0.01125,0.0,-6000000.0,0.7,0.1,1.0,2.9999999999999997e-05,0.0,0.01,0.0,0,0,0.03,0.0,0.00025,0.0,610.0,0.03,200.0,1.3,0.0,0.0,100000.0,200.0,0.78,0.0,0.032,111.0,0.0225,766000000.0,0.014,0.0,550.0,0.1,0.0,0.05,-1.4999999999999999e-05,0.0,605500000.0,1010900000.0,0,0.3,0,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',10.0,0.0,773000000.0,0.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',0.035,0.03,0.0225,0,0,0.0,0.0,0.0,0.875,2.5,83506780.0,620000000.0
