shot_idx,shot_serial,shot_start_time,GlobalScienceChamberEvaporationVariables2.AccordionCompressionDimplePower,GlobalLatticeVariables2.IsRoundTripReloading,GlobalImagingVariables2.SecondSpinBlowOutPulseThreeHalvesExtAmplitude,LocalVariables.DMDID2,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.isImageExpandedCheckerboard,GlobalLatticeVariables2.SecondDMD1RampTime,GlobalLatticeVariables2.LatticeFreezePhysicsNorthwestPower,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampWaitTime,GlobalLatticeVariables2.UnloadLatticeXPower,GlobalImagingVariables2.FifthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.Dmd1PatternFilename,GlobalImagingVariables2.SecondSpinBlowOutPulsePulseWidth,GlobalLatticeVariables2.PhysicsSplitYInitialPower,LocalVariables.ScanID4,GlobalLatticeVariables2.UnloadLatticeDMD1Power,LocalVariables.DMDID,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,GlobalLatticeVariables2.DMDModulationAmplitude,GlobalImagingVariables2.SecondSpinBlowOutPulseOneHalfExtAmplitude,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalImagingVariables2.SpinBlowOutPulsePulseWidth,LocalVariables.ScanID2,GlobalLatticeVariables2.UnloadLatticeYPower,GlobalLatticeVariables2.NematicLatticeModulationPreHoldTime,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.NematicLatticeModulationPostHoldTime,GlobalLatticeVariables2.DMDModulationTime,GlobalLatticeVariables2.LoadingGradientRadialLoadingField,GlobalMotVariables2.MotDetuningCompressed,GlobalLatticeVariables2.ReloadLatticeRampTime,GlobalMotVariables2.MotRepumpExtAmplitudeCompressed,LocalVariables.ScanID5,GlobalImagingVariables2.SpinBlowOutPulseDetuning,GlobalLatticeVariables2.UnloadLatticeRampTime,GlobalLatticeVariables2.DMDModulationFrequency,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.NematicLatticeModulationFrequency,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionInitialPower,GlobalLatticeVariables2.PhysicsSplitFieldRampDelayTime,GlobalLatticeVariables2.NematicLatticeModulationTime,LocalVariables.ImagingBlowOutID,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalImagingVariables2.FourthSpinBlowOutPulseDetuning,GlobalLatticeVariables2.DMDModulationOffset,GlobalLatticeVariables2.Dmd1ModPattern,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationAccordionFinalPower,LocalVariables.ScanID3,GlobalLatticeVariables2.DMDModulationPreHoldTime,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,GlobalImagingVariables2.SecondSpinBlowShallowLatticeRampDelayTime,GlobalLatticeVariables2.LoadingGradientNorthwestInitialPower,GlobalLatticeVariables2.NematicLatticeModulationXbarPhase,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,LocalVariables.ShotTypeID,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.IsDMDLatticeModulation,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalPulseVariables2.LatticeMicrowaveFrequency,LocalVariables.XbarFrequency,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LatticeFreezeNorthwestPower,GlobalLatticeVariables2.IsNematicLatticeModulation,GlobalLatticeVariables2.ImagingLatticeFreezeTime,GlobalLatticeVariables2.IsImageBIFormation,GlobalImagingVariables2.SecondSpinBlowOutPulseDetuning,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalImagingVariables2.SpinBlowNorthwestPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalMotVariables2.MotExtAmplitudeCompressed,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalImagingVariables2.SecondSpinBlowOutPulseMagneticField,GlobalLatticeVariables2.LatticeFreezeVerticalPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalImagingVariables2.ThirdSpinBlowOutPulseDetuning,GlobalLatticeVariables2.CleanupBandInsulatorWaitTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power
516,516,2025/10/09 14:06:07,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,36.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
517,517,2025/10/09 14:06:22,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,37.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_8n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
518,518,2025/10/09 14:06:38,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,38.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
519,519,2025/10/09 14:06:54,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,39.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_8p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
520,520,2025/10/09 14:07:09,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,40.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
521,521,2025/10/09 14:07:24,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,41.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_10n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
522,522,2025/10/09 14:07:40,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,42.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
523,523,2025/10/09 14:07:55,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,43.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_10p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
524,524,2025/10/09 14:08:11,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,44.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
525,525,2025/10/09 14:08:26,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,45.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_12n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
526,526,2025/10/09 14:08:42,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,46.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
527,527,2025/10/09 14:08:58,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,47.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_12p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
528,528,2025/10/09 14:09:13,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,48.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_16n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
529,529,2025/10/09 14:09:29,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,49.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_16n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
530,530,2025/10/09 14:09:44,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,50.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_16p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
531,531,2025/10/09 14:10:00,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,51.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_16p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
532,532,2025/10/09 14:10:15,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,52.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
533,533,2025/10/09 14:10:30,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,53.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_20n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
534,534,2025/10/09 14:10:46,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,54.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
535,535,2025/10/09 14:11:01,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,55.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_20p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
536,536,2025/10/09 14:11:17,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,56.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_4n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
537,537,2025/10/09 14:11:32,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,57.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_4n.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
538,538,2025/10/09 14:11:48,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,58.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_4p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
539,539,2025/10/09 14:12:03,0.3,0,0.0,0.0,0.014,0,0.02,1.0,0.0,0.00025,620000000.0,b'250924_dmd1_countersink_0.625_0.750_0.8_12.25_1_1.pkl',9.999999999999999e-06,0.1634945,0.0,0.0225,0.0,0.1,0.0,0.0,0.0,4.9999999999999996e-06,0.875,0.007,0.0,0.0,0.0,0.03,550.0,-6000000.0,0.1,0.48,0.0,450000000.0,0.01,200.0,0.0225,0.0,200.0,0,2.5,0.0,0.03,0.0,0.032,854000000.0,0.0,0.0,1.0,0.0,0.0,0.005,-1.4999999999999999e-05,0.05,0.0,0.03,0.174746,59.0,93.0,2.9999999999999997e-05,b'251007_dmd0_iterative_compensation_pinning_4p.pkl',0,0.018000000000000002,228200000.0,773000000.0,0.2,0.035,1.3,0,0.02,0,300000000.0,590.0,0.975,1.5,10.0,0.001,0.78,100000.0,500.0,0.0,0.01125,932600000.0,0.03,0.03,0.0225
